station,lat,lon,elem
USC00011725,31.8708,-85.45,PRCP
USC00018517,33.7417,-88.125,PRCP
USC00021282,33.8164,-111.9017,PRCP
USC00022140,31.3456,-110.2542,PRCP
USC00030240,34.025,-91.3444,PRCP
USC00030664,34.4619,-93.9983,PRCP
USC00030764,34.5703,-93.1944,PRCP
USC00032540,33.8228,-92.3992,PRCP
USC00033821,35.6744,-90.0842,PRCP
USC00035200,34.9539,-93.16,PRCP
USC00041700,40.3022,-121.2439,PRCP
USC00042319,36.4625,-116.8672,PRCP
USC00044500,37.9567,-122.5447,PRCP
USC00046399,34.4478,-119.2275,PRCP
USC00048135,40.7142,-122.4161,PRCP
USC00050214,39.4992,-108.3808,PRCP
USC00051564,38.8575,-102.3328,PRCP
USC00051741,39.2403,-107.9575,PRCP
USC00051959,38.8739,-106.9772,PRCP
USC00057460,38.4036,-106.4239,PRCP
USC00057656,37.8089,-107.6633,PRCP
USC00080478,27.8864,-81.8325,PRCP
USC00091982,34.8878,-83.3967,PRCP
USC00098535,32.6864,-84.5208,PRCP
USC00101636,43.8997,-115.9047,PRCP
USC00103297,43.0331,-112.4325,PRCP
USC00106388,44.9714,-116.2933,PRCP
USC00112687,39.1181,-88.6244,PRCP
USC00114108,39.1611,-89.4919,PRCP
USC00116661,41.6653,-88.9781,PRCP
USC00127482,41.0664,-86.2097,PRCP
USC00128698,37.9531,-86.7747,PRCP
USC00134381,40.3969,-91.375,PRCP
USC00136566,41.8394,-94.1106,PRCP
USC00137979,42.6469,-95.1933,PRCP
USC00141003,39.8911,-96.7117,PRCP
USC00142432,37.0058,-101.8867,PRCP
USC00143037,38.5375,-98.1611,PRCP
USC00144559,38.9569,-95.2483,PRCP
USC00145335,39.3506,-97.4547,PRCP
USC00147796,38.2139,-98.2072,PRCP
USC00148259,39.2475,-96.5994,PRCP
USC00154955,38.2778,-85.7917,PRCP
USC00167932,29.7286,-92.8181,PRCP
USC00200417,43.8081,-82.9939,PRCP
USC00201675,41.9622,-84.9925,PRCP
USC00207277,45.6911,-85.5464,PRCP
USC00208800,44.2542,-84.2011,PRCP
USC00210939,46.3433,-94.2086,PRCP
USC00217502,45.5458,-93.7572,PRCP
USC00228556,31.4222,-89.5386,PRCP
USC00238603,38.4325,-92.8397,PRCP
USC00238725,38.8347,-91.1389,PRCP
USC00241088,48.5156,-105.2992,PRCP
USC00244538,46.6778,-109.7506,PRCP
USC00249240,45.3128,-107.9383,PRCP
USC00249900,47.9186,-108.5244,PRCP
USC00251415,40.2844,-100.1419,PRCP
USC00252715,42.2831,-96.7261,PRCP
USC00253810,41.1056,-100.9775,PRCP
USC00255310,40.2289,-100.61,PRCP
USC00258745,40.8972,-97.3464,PRCP
USC00259325,40.1119,-100.1047,PRCP
USC00290915,34.4219,-106.8325,PRCP
USC00291252,33.0239,-108.6894,PRCP
USC00307780,42.9461,-76.4314,PRCP
USC00309292,41.3906,-73.9608,PRCP
USC00316256,36.1639,-81.1536,PRCP
USC00317924,35.7608,-79.4625,PRCP
USC00325479,46.8128,-100.9097,PRCP
USC00331536,38.7975,-84.173,PRCP
USC00338951,40.1267,-82.9442,PRCP
USC00340184,34.8847,-99.2964,PRCP
USC00340755,36.5297,-97.4472,PRCP
USC00353356,42.4019,-124.4214,PRCP
USC00356784,42.7514,-124.5017,PRCP
USC00357641,45.9869,-123.9236,PRCP
USC00363321,40.0961,-75.7514,PRCP
USC00366681,40.3856,-75.5019,PRCP
USC00366927,40.1208,-75.4878,PRCP
USC00393452,43.2356,-99.4342,PRCP
USC00394254,44.3647,-97.8483,PRCP
USC00396170,44.4419,-100.4172,PRCP
USC00410394,33.1525,-100.2331,PRCP
USC00411800,32.3139,-97.4061,PRCP
USC00413828,33.6267,-100.3369,PRCP
USC00415954,32.635,-95.4822,PRCP
USC00417215,29.0281,-98.5686,PRCP
USC00418646,31.0372,-97.5283,PRCP
USC00422253,40.1703,-110.3978,PRCP
USC00429346,41.1092,-111.9125,PRCP
USC00429595,41.5147,-111.1594,PRCP
USC00457180,47.2344,-117.3636,PRCP
USC00458034,47.8672,-121.7175,PRCP
USC00464200,38.6842,-82.1839,PRCP
USC00471897,45.3581,-88.1922,PRCP
USC00472869,42.905,-88.8589,PRCP
USC00473058,43.2389,-88.1222,PRCP
USC00474195,44.4628,-87.505,PRCP
USC00478171,44.5114,-89.5853,PRCP
USW00003822,32.1314,-81.2022,PRCP
USW00014838,46.5458,-87.3794,PRCP
USW00014898,44.4986,-88.1111,PRCP
USW00023272,37.7706,-122.4269,PRCP
USW00024057,41.8064,-107.1953,PRCP
USW00024130,44.8431,-117.81,PRCP
USW00024139,46.6383,-113.1761,PRCP
USW00093010,39.2733,-103.6675,PRCP
USW00093985,32.7817,-98.0603,PRCP
USW00094725,44.9333,-74.8483,PRCP
