year,USC00010402,USC00012813,USC00013160,USC00016121,USC00020750,USC00024453,USC00026353,USC00027281,USC00027708,USC00027855,USC00030130,USC00030460,USC00031152,USC00031632,USC00031962,USC00040161,USC00042214,USC00042294,USC00043463,USC00043551,USC00043761,USC00044259,USC00044297,USC00044997,USC00046006,USC00046175,USC00046252,USC00046508,USC00047085,USC00047880,USC00047888,USC00047916,USC00048758,USC00049099,USC00053016,USC00055722,USC00056832,USC00058157,USC00058781,USC00058931,USC00059295,USC00065445,USC00080211,USC00081641,USC00082944,USC00085973,USC00086078,USC00087025,USC00087397,USC00089120,USC00090140,USC00091266,USC00092283,USC00093754,USC00097808,USC00102575,USC00103108,USC00103297,USC00105275,USC00105462,USC00105708,USC00114108,USC00116526,USC00117636,USC00118293,USC00129240,USC00130807,USC00131402,USC00133718,USC00134585,USC00135769,USC00135992,USC00136940,USC00137161,USC00140365,USC00141867,USC00144178,USC00144559,USC00145888,USC00147542,USC00155640,USC00165266,USC00173261,USC00180700,USC00188065,USC00188405,USC00190860,USC00195984,USC00200864,USC00203096,USC00203632,USC00203661,USC00213282,USC00215204,USC00216612,USC00221962,USC00228374,USC00228445,USC00230204,USC00231189,USC00231711,USC00232850,USC00234919,USC00235307,USC00238577,USC00244345,USC00244820,USC00246615,USC00246640,USC00247034,USC00247382,USC00248363
1940,36.7,34.4,,36.1,37.2,38.9,,43.9,,,35.6,,38.9,38.9,,36.1,29.4,41.1,,,40.0,47.2,48.3,41.1,,25.6,42.2,41.1,36.7,,38.3,30.6,31.1,46.7,,38.3,,,41.1,34.4,41.7,,35.6,,39.4,36.7,,36.7,,,39.4,38.9,36.1,38.9,,,,38.3,36.7,35.6,34.4,37.2,41.7,,,,40.6,,42.8,38.9,39.4,,,40.6,43.3,,,41.1,43.9,,,35.6,,,,39.4,36.7,,37.8,,35.0,38.3,28.3,41.1,35.0,38.3,35.6,36.1,39.4,,38.9,,37.8,,,41.1,,,,,38.9,40.6
1941,36.1,36.1,,,33.3,35.6,,43.3,,,36.1,,40.0,40.6,,,30.6,41.1,,30.0,40.6,46.7,46.7,39.4,,28.3,40.0,40.6,35.6,,34.4,31.7,31.1,46.1,,36.1,,,33.9,28.9,36.1,,35.6,,38.9,36.7,,35.6,,,38.3,37.2,33.9,40.0,,,,37.8,32.2,36.7,32.8,38.9,38.9,,,,,,37.8,38.9,39.4,,38.9,40.0,39.4,,,38.9,36.7,,36.7,35.0,,36.7,,36.7,36.7,,36.7,,35.6,37.2,30.0,39.4,35.6,37.8,36.7,36.7,38.9,,40.0,,37.2,,,38.9,,,,,40.0,37.8
1942,36.1,36.1,,,,38.3,,43.3,,,37.8,,38.3,39.4,,35.6,29.4,43.9,,32.2,41.1,48.9,47.2,42.2,,26.1,41.7,42.8,38.9,,36.7,32.2,31.7,45.6,,37.2,,,36.7,33.3,37.8,,36.7,,39.4,38.3,35.6,37.8,,,39.4,39.4,35.6,39.4,,,,37.2,33.3,36.7,32.8,35.0,37.2,,,,36.1,,39.4,34.4,35.6,,37.2,36.7,40.6,,,38.3,41.1,,36.1,37.2,,36.1,,37.2,35.0,,35.6,,32.2,35.0,28.3,35.6,33.9,38.9,38.3,37.2,36.1,,37.8,,38.3,,,37.2,31.7,,,,37.8,36.7
1943,38.3,37.8,,40.0,35.6,37.2,,43.3,,,40.6,,42.8,40.6,,33.9,33.9,42.2,,31.1,40.0,50.0,46.7,40.6,,27.2,40.0,40.6,35.0,,38.3,37.2,29.4,45.0,,37.2,,,36.1,32.2,38.9,32.8,36.7,,37.8,36.1,36.1,,,,39.4,40.6,36.1,38.3,,,,37.2,33.3,37.2,32.2,38.9,37.8,,,,36.7,,37.8,35.6,34.4,,36.7,36.1,45.0,,,37.8,42.2,,38.3,37.8,,37.8,,37.2,36.7,35.0,35.0,,35.0,35.0,30.0,35.6,31.7,42.2,40.6,40.6,38.9,,39.4,,39.4,,,38.3,,,,,37.2,36.1
1944,,37.8,,38.3,35.0,37.8,,43.3,39.4,,40.0,,41.1,39.4,,34.4,31.1,42.2,,30.0,41.1,47.8,46.1,42.8,,25.6,40.6,40.6,36.1,,36.7,33.3,30.6,45.0,,36.1,,,36.7,31.7,35.0,33.9,36.7,,39.4,37.8,36.1,38.9,,,40.0,40.0,,40.0,,,,35.0,31.7,32.2,32.2,36.7,38.3,,36.7,,36.7,,36.7,35.0,35.0,,36.7,36.7,41.7,,,38.3,37.8,,38.3,38.9,,36.7,,36.7,38.9,,36.7,,35.6,36.7,27.8,36.7,32.8,40.0,38.3,39.4,38.9,,38.9,,37.2,,,35.0,28.3,,,,36.7,33.9
1945,38.3,36.1,,37.2,32.8,37.2,,42.8,38.3,,37.2,,41.1,38.3,,37.2,32.8,42.8,,30.0,42.8,47.2,46.1,40.0,,30.6,40.6,42.8,37.2,,37.8,35.6,30.6,43.9,,35.6,,,34.4,31.1,37.8,32.8,32.8,,37.2,38.9,36.1,35.6,,,37.2,40.0,36.1,38.3,,,,36.1,32.2,35.0,31.7,36.1,39.4,,35.0,,36.7,,35.0,36.1,36.1,,36.7,36.7,42.8,,,37.2,41.1,,36.7,36.7,,36.7,,37.2,37.8,,34.4,,35.0,36.1,34.4,36.7,33.3,38.9,36.7,36.1,36.1,,37.8,,36.7,,37.2,37.2,31.1,,,,38.9,36.1
1946,36.1,36.1,,35.6,33.9,37.8,,42.8,38.9,,37.2,,38.9,39.4,,38.9,29.4,41.7,,28.9,46.1,46.7,46.7,44.4,,27.8,,43.9,37.2,,36.7,36.1,32.8,45.6,,36.1,,,34.4,32.2,37.8,31.7,32.8,,36.7,35.6,35.0,,,,36.7,36.7,34.4,36.1,,,,37.2,32.2,33.9,33.9,36.7,38.3,,33.3,,37.8,,37.8,36.1,36.1,,40.0,37.8,43.9,,,41.1,43.3,,34.4,38.3,,35.0,,35.0,35.6,,37.2,,35.0,36.1,28.9,36.7,32.8,36.1,35.6,35.6,43.3,,43.9,,39.4,,38.9,38.3,31.1,35.6,,,38.9,36.1
1947,,39.4,,40.0,,37.2,,43.9,,,41.1,,,40.6,,34.4,33.9,41.1,,29.4,37.8,46.7,45.6,39.4,,28.9,,38.9,34.4,36.1,39.4,36.1,30.0,44.4,,41.1,,,35.6,31.1,40.0,31.1,35.0,,37.8,35.6,35.6,,,,36.7,37.8,35.0,37.8,,,,37.8,31.7,33.3,31.7,38.3,40.0,,36.1,,39.4,,42.8,39.4,39.4,,38.3,40.6,41.7,,,40.0,40.0,,35.0,41.7,,35.0,,35.0,36.7,,37.2,,38.9,38.9,27.8,41.1,36.7,41.1,38.3,37.8,40.0,,41.7,,40.0,,38.9,39.4,28.9,33.3,,,40.0,36.1
1948,37.8,36.7,,,37.8,36.7,,43.9,39.4,,36.1,,38.3,37.8,,33.3,,42.2,,29.4,40.0,46.1,46.1,41.7,,,,40.6,34.4,38.3,33.9,30.6,28.3,,,36.1,,,32.2,31.7,,33.3,33.9,,37.2,36.1,,,,,39.4,37.8,35.6,36.7,,,,37.2,31.7,32.2,30.6,34.4,37.8,,36.1,36.1,38.3,37.8,38.3,35.6,35.6,38.3,36.1,37.8,,,,36.1,38.3,,37.8,39.4,,37.2,,36.7,40.0,,35.6,,34.4,37.2,33.9,37.8,33.9,38.9,38.9,36.7,37.2,,37.2,,36.1,36.7,34.4,38.9,28.9,30.6,,,40.6,34.4
1949,37.2,35.6,,36.7,35.0,37.2,,46.7,38.3,,36.7,,38.9,36.7,,35.0,35.0,40.0,,27.8,41.7,46.1,46.1,40.0,31.7,31.1,39.4,41.1,34.4,36.7,38.3,33.9,29.4,46.1,28.9,36.1,,,29.4,31.1,37.8,33.9,33.9,35.6,38.3,36.1,35.0,,,,36.7,37.8,35.0,37.2,,,37.2,37.8,32.8,33.9,33.3,35.6,37.8,,35.6,36.1,36.1,35.0,37.2,35.0,34.4,35.0,35.6,36.1,38.9,,38.3,37.2,39.4,,37.8,36.1,,36.7,,36.1,38.9,,34.4,,35.0,36.7,26.7,,32.8,36.7,35.6,37.2,37.2,,37.8,,35.6,33.3,35.6,40.0,30.6,32.2,,,43.3,37.2
