station,lat,lon
USC00010402,31.1819,-87.4389
USC00012813,30.5467,-87.8808
USC00013160,32.8347,-88.1342
USC00016121,33.9264,-86.4211
USC00020750,36.6778,-110.5411
USC00024453,34.7539,-112.1114
USC00026353,31.9372,-109.8394
USC00027281,33.6489,-111.1089
USC00027708,34.8611,-111.8197
USC00027855,34.2639,-110.0075
USC00030130,34.7961,-92.8417
USC00030460,35.7594,-91.6383
USC00031152,33.59,-92.8236
USC00031632,36.4083,-90.5917
USC00031962,33.5597,-91.385
USC00040161,41.4903,-120.5439
USC00042214,34.005,-118.4139
USC00042294,38.535,-121.7761
USC00043463,35.7269,-118.7006
USC00043551,36.7375,-118.9619
USC00043761,41.7961,-123.3747
USC00044259,33.7086,-116.2153
USC00044297,34.1472,-115.1219
USC00044997,37.6819,-121.7514
USC00046006,34.2308,-118.0711
USC00046175,33.6031,-117.8836
USC00046252,37.2328,-119.5097
USC00046508,41.3019,-123.5386
USC00047085,39.8053,-120.4719
USC00047880,37.9983,-122.5372
USC00047888,33.7442,-117.8667
USC00047916,36.9878,-121.9994
USC00048758,39.1678,-120.1428
USC00049099,34.1281,-116.0369
USC00053016,37.2308,-108.0514
USC00055722,38.4858,-107.8792
USC00056832,40.0889,-108.7728
USC00058157,38.3419,-104.0567
USC00058781,37.63,-104.7956
USC00058931,38.1314,-105.4661
USC00059295,40.1236,-102.7217
USC00065445,41.9725,-73.2208
USC00080211,29.7258,-85.0206
USC00081641,28.4558,-81.7233
USC00082944,30.6669,-81.4525
USC00085973,27.9378,-81.5992
USC00086078,26.1653,-81.6842
USC00087025,30.0925,-83.5708
USC00087397,26.9147,-81.9969
USC00089120,29.4081,-82.8189
USC00090140,31.5339,-84.1489
USC00091266,32.3767,-81.6739
USC00092283,34.5181,-83.5286
USC00093754,31.9881,-81.9522
USC00097808,31.3981,-81.2808
USC00102575,45.5525,-115.4611
USC00103108,43.3428,-114.79
USC00103297,43.0331,-112.4325
USC00105275,42.1231,-111.3133
USC00105462,43.9178,-113.6153
USC00105708,44.8872,-116.1047
USC00114108,39.1611,-89.4919
USC00116526,41.3281,-88.9097
USC00117636,38.6403,-88.9458
USC00118293,42.3997,-89.9903
USC00129240,41.2633,-85.8678
USC00130807,42.0417,-93.8908
USC00131402,43.0603,-92.6717
USC00133718,43.0031,-96.485
USC00134585,40.6233,-93.9342
USC00135769,40.7053,-94.2428
USC00135992,41.7117,-93.0297
USC00136940,41.0036,-95.2419
USC00137161,42.3969,-94.6292
USC00140365,37.1942,-99.7633
USC00141867,38.6758,-96.5097
USC00144178,38.6078,-97.9597
USC00144559,38.9569,-95.2483
USC00145888,39.1131,-100.9447
USC00147542,39.7772,-98.7783
USC00155640,38.0583,-83.9333
USC00165266,31.1417,-93.2397
USC00173261,45.1783,-67.775
USC00180700,39.0303,-76.9314
USC00188065,39.51,-79.14
USC00188405,38.32,-76.4528
USC00190860,42.0475,-71.0081
USC00195984,41.9928,-71.1667
USC00200864,42.3839,-85.9625
USC00203096,45.0333,-84.7114
USC00203632,43.675,-86.4228
USC00203661,42.6419,-85.2881
USC00213282,47.7517,-90.3283
USC00215204,44.4717,-95.7903
USC00216612,47.2508,-93.5861
USC00221962,34.9158,-88.6011
USC00228374,33.4692,-88.7822
USC00228445,33.4311,-90.9108
USC00230204,38.1894,-94.0244
USC00231189,38.6278,-92.5567
USC00231711,38.395,-93.7711
USC00232850,38.2325,-90.3981
USC00234919,37.5544,-91.8833
USC00235307,37.3233,-92.9828
USC00238577,39.3075,-91.4925
USC00244345,45.9228,-108.2453
USC00244820,44.5994,-111.8125
USC00246615,48.7647,-114.2842
USC00246640,47.6775,-114.2419
USC00247034,45.5022,-104.4478
USC00247382,47.4536,-104.3378
USC00248363,45.9467,-111.4758
