year,SEA,PDX,GEG,EUG,PDT
1890,,,38.9,,
1891,,,36.1,,
1892,,,35.6,,
1893,,,37.2,,
1894,,,36.7,,
1895,,,35.0,,
1896,,,37.8,,
1897,,,37.8,,
1898,,,40.0,,
1899,,,36.7,,
1900,,,37.8,,
1901,,,37.2,,
1902,,,34.4,,
1903,,,36.1,,
1904,,,37.8,,
1905,,,39.4,,
1906,,,37.2,,
1907,,,36.1,,
1908,,,38.3,,
1909,,,36.1,,
1910,,,35.0,,
1911,,,36.7,,
1912,,,36.7,,
1913,,,35.0,,
1914,,,37.8,,
1915,,,36.7,,
1916,,,35.6,,
1917,,,37.8,,
1918,,,38.3,,
1919,,,38.9,,
1920,,,38.3,,
1921,,,35.0,,
1922,,,38.3,,
1923,,,37.2,,
1924,,,38.9,,
1925,,,37.8,,
1926,,,39.4,,
1927,,,37.8,,
1928,,,42.2,,45.6
1929,,,39.4,,41.7
1930,,,40.0,,42.8
1931,,,41.1,,43.3
1932,,,36.1,,40.0
1933,,,38.3,,42.2
1934,,,41.1,,41.1
1935,,,37.2,,42.2
1936,,,39.4,,39.4
1937,,,36.7,,38.9
1938,,38.3,39.4,41.1,41.7
1939,,37.8,40.6,38.3,43.3
1940,,37.2,38.3,36.1,37.8
1941,,39.4,40.0,38.9,41.7
1942,,40.6,38.3,37.8,40.6
1943,,32.8,35.0,35.0,36.7
1944,,40.0,36.7,37.8,37.8
1945,,37.8,35.6,36.7,37.2
1946,,38.9,37.2,40.6,40.0
1947,,32.8,35.6,31.1,36.7
1948,31.1,33.9,33.9,33.9,38.3
1949,33.3,33.9,37.8,36.1,37.8
1950,30.0,35.0,35.0,37.2,37.2
1951,35.6,36.1,36.7,38.9,37.2
1952,33.3,37.2,36.7,37.8,38.3
1953,31.1,35.0,36.7,35.0,37.8
1954,26.7,27.8,34.4,30.0,36.7
1955,35.6,35.0,36.7,35.0,39.4
1956,34.4,38.9,35.6,37.8,40.0
1957,27.8,30.6,33.3,32.2,36.1
1958,36.1,38.9,36.7,40.0,41.1
1959,33.9,36.7,38.9,36.7,40.6
1960,37.2,37.8,38.9,37.8,42.2
1961,36.1,40.0,42.2,40.6,45.0
1962,31.1,33.3,36.1,35.6,40.0
1963,31.1,33.9,35.0,35.0,36.7
1964,29.4,34.4,35.0,35.6,38.9
1965,34.4,41.7,36.7,37.2,39.4
1966,31.1,35.0,37.8,35.6,37.2
1967,36.7,38.9,39.4,37.2,40.6
1968,33.3,37.2,38.3,37.2,42.2
1969,32.8,36.1,37.2,36.1,37.8
1970,34.4,38.9,37.2,37.2,39.4
1971,35.0,38.3,38.3,38.3,42.2
1972,35.0,40.0,39.4,41.1,43.9
1973,32.2,37.2,37.8,37.2,39.4
1974,32.8,35.0,36.1,37.2,40.0
1975,32.2,35.0,38.9,35.6,42.2
1976,30.0,33.3,35.0,35.6,38.3
1977,35.6,40.6,37.8,38.9,40.0
1978,35.0,38.3,36.7,40.0,40.0
1979,36.7,40.0,38.9,38.9,40.6
1980,30.6,38.3,38.3,35.6,37.8
1981,37.2,41.7,36.7,42.2,38.9
1982,34.4,37.8,36.7,36.1,38.3
1983,29.4,33.9,35.6,33.3,37.2
1984,32.8,37.8,38.3,34.4,37.2
1985,33.9,38.3,37.8,37.2,38.9
1986,32.8,37.8,36.1,36.1,38.3
1987,33.9,38.9,35.6,38.9,38.3
1988,35.0,38.3,36.7,38.9,37.8
1989,32.2,33.9,36.1,35.0,37.2
1990,34.4,38.3,36.7,37.8,40.6
1991,37.2,37.8,35.0,37.2,36.7
1992,33.3,38.3,38.3,40.0,40.0
1993,35.0,36.1,32.2,37.8,35.0
1994,37.8,39.4,38.9,38.9,41.1
1995,35.6,37.2,33.9,37.2,37.2
1996,32.8,37.8,37.2,38.3,40.6
1997,31.1,34.4,37.2,35.6,38.3
1998,36.1,38.3,39.4,40.6,43.3
1999,30.0,33.3,36.1,33.3,38.9
2000,31.1,36.7,37.2,35.0,40.6
2001,31.1,36.7,37.2,36.7,38.9
2002,34.4,38.9,38.9,40.0,42.8
2003,33.9,37.8,37.8,38.3,41.1
2004,35.6,39.4,36.1,39.4,40.0
2005,31.1,35.6,36.1,36.7,39.4
2006,36.1,40.0,38.9,40.6,41.1
2007,36.7,38.9,38.3,38.3,41.7
2008,33.3,38.9,39.4,37.8,42.2
2009,39.4,41.1,38.3,41.1,42.2
2010,35.6,36.7,35.0,38.3,38.9
2011,30.6,35.6,34.4,33.9,36.7
2012,34.4,38.9,36.7,38.3,40.0
2013,33.9,36.1,37.2,35.6,41.1
2014,35.6,37.2,37.8,38.3,40.6
2015,35.0,39.4,40.6,40.6,42.8
2016,35.0,37.8,36.1,40.0,39.4
2017,35.6,40.6,37.2,38.9,39.4
2018,34.4,37.8,39.4,36.7,41.1
2019,35.0,36.7,36.7,38.3,38.3
2020,36.7,37.8,38.9,38.3,42.8
2021,42.2,46.7,42.8,43.9,47.2
2022,35.0,38.9,38.9,38.9,43.9
2023,35.0,42.2,38.9,40.6,40.0
2024,36.7,40.0,41.7,41.1,42.8
2025,34.4,38.9,36.1,39.4,38.3
