epochs,seed,val_pinball,train_s
250,1,0.20044026865419196,195.60971741005778
250,2,0.20232132993656649,198.42536216042936
250,3,0.1948608578726798,199.57331900764257
500,1,0.17558663168282496,339.8726272750646
500,2,0.1772568545196867,389.0377901615575
500,3,0.1774271628903448,341.4632057854906
1000,1,0.17053144407038154,775.1968031637371
1000,2,0.17060834613896825,769.8078885385767
1000,3,0.17047771737090392,750.3035576418042
2000,1,0.1672802563707291,1474.787454447709
2000,2,0.16719018823730245,1534.430017513223
2000,3,0.1669265749970444,1331.1081830346957
3000,1,0.1661034673963844,1978.8150230590254
3000,2,0.16607243491198445,2194.675539523363
3000,3,0.16596595162358976,2165.5669173635542
4000,1,0.1656155687558527,2806.365327216685
4000,2,0.16546412227343307,2826.211798740551
4000,3,0.16533737589823552,2673.997787280008
