station,lat,lon,z100
USC00010402,31.1819,-87.4389,40.77571076232363
USC00012813,30.5467,-87.8808,39.26952841221751
USC00013160,32.8347,-88.1342,42.0252662452369
USC00016121,33.9264,-86.4211,42.1413966424103
USC00020750,36.6778,-110.5411,37.93519586475998
USC00024453,34.7539,-112.1114,42.658471584946774
USC00026353,31.9372,-109.8394,44.421873656704584
USC00027281,33.6489,-111.1089,47.67011684314932
USC00027708,34.8611,-111.8197,43.92811108642282
USC00027855,34.2639,-110.0075,38.01570100625236
USC00030130,34.7961,-92.8417,43.31812542227223
USC00030460,35.7594,-91.6383,45.670870983192415
USC00031152,33.59,-92.8236,43.62466446001833
USC00031632,36.4083,-90.5917,43.037677660552724
USC00031962,33.5597,-91.385,42.20299397979381
USC00040161,41.4903,-120.5439,41.863637422755026
USC00042214,34.005,-118.4139,42.76326381781388
USC00042294,38.535,-121.7761,45.03507960019555
USC00043463,35.7269,-118.7006,40.82856563834023
USC00043551,36.7375,-118.9619,32.98330244492336
USC00043761,41.7961,-123.3747,46.1697691663804
USC00044259,33.7086,-116.2153,50.21970795636831
USC00044297,34.1472,-115.1219,53.14616149526447
USC00044997,37.6819,-121.7514,44.80790668454561
USC00046006,34.2308,-118.0711,39.29905565918354
USC00046175,33.6031,-117.8836,39.83377109279506
USC00046252,37.2328,-119.5097,43.02111251131125
USC00046508,41.3019,-123.5386,46.04245862658165
USC00047085,39.8053,-120.4719,41.77167021279051
USC00047880,37.9983,-122.5372,44.036565103740294
USC00047888,33.7442,-117.8667,44.274854474383304
USC00047916,36.9878,-121.9994,41.41230225022889
USC00048758,39.1678,-120.1428,34.008702311385505
USC00049099,34.1281,-116.0369,47.81714054949783
USC00053016,37.2308,-108.0514,37.72231729892787
USC00055722,38.4858,-107.8792,39.562455721597644
USC00056832,40.0889,-108.7728,40.7408023742997
USC00058157,38.3419,-104.0567,42.854274970811616
USC00058781,37.63,-104.7956,39.709164847702795
USC00058931,38.1314,-105.4661,34.21017586971707
USC00059295,40.1236,-102.7217,43.914188249106104
USC00065445,41.9725,-73.2208,34.13155705790458
USC00080211,29.7258,-85.0206,39.29995325949376
USC00081641,28.4558,-81.7233,40.74092866386513
USC00082944,30.6669,-81.4525,39.903428608266246
USC00085973,27.9378,-81.5992,39.60854490442089
USC00086078,26.1653,-81.6842,36.83194042437207
USC00087025,30.0925,-83.5708,40.04686735679679
USC00087397,26.9147,-81.9969,38.90190517675855
USC00089120,29.4081,-82.8189,41.1420031298484
USC00090140,31.5339,-84.1489,41.294446664363825
USC00091266,32.3767,-81.6739,42.01239392282978
USC00092283,34.5181,-83.5286,39.380544881077
USC00093754,31.9881,-81.9522,41.48426051814529
USC00097808,31.3981,-81.2808,40.636699355380934
USC00102575,45.5525,-115.4611,36.67428064108241
USC00103108,43.3428,-114.79,37.78637176615139
USC00103297,43.0331,-112.4325,39.3399504279722
USC00105275,42.1231,-111.3133,37.76535518594141
USC00105462,43.9178,-113.6153,37.062745529267325
USC00105708,44.8872,-116.1047,37.742584275755824
USC00114108,39.1611,-89.4919,43.56994665652964
USC00116526,41.3281,-88.9097,41.12829708518781
USC00117636,38.6403,-88.9458,42.63748982136293
USC00118293,42.3997,-89.9903,37.8535549545575
USC00129240,41.2633,-85.8678,41.74473631631229
USC00130807,42.0417,-93.8908,41.31681990352803
USC00131402,43.0603,-92.6717,39.749970989763774
USC00133718,43.0031,-96.485,42.03844076562831
USC00134585,40.6233,-93.9342,41.30093357595415
USC00135769,40.7053,-94.2428,40.973731366251066
USC00135992,41.7117,-93.0297,41.00029560078667
USC00136940,41.0036,-95.2419,43.848429059139626
USC00137161,42.3969,-94.6292,41.39764669337521
USC00140365,37.1942,-99.7633,45.875847797642486
USC00141867,38.6758,-96.5097,45.15431063125882
USC00144178,38.6078,-97.9597,46.3930859542884
USC00144559,38.9569,-95.2483,43.7659698512694
USC00145888,39.1131,-100.9447,44.025068261793315
USC00147542,39.7772,-98.7783,44.99226813456638
USC00155640,38.0583,-83.9333,42.445186535894955
USC00165266,31.1417,-93.2397,43.52871116393594
USC00173261,45.1783,-67.775,37.86319766919078
USC00180700,39.0303,-76.9314,39.45282688092396
USC00188065,39.51,-79.14,41.38594925313581
USC00188405,38.32,-76.4528,40.442634178793945
USC00190860,42.0475,-71.0081,40.654885540597306
USC00195984,41.9928,-71.1667,38.364069372380236
USC00200864,42.3839,-85.9625,38.34495124484342
USC00203096,45.0333,-84.7114,36.86919082820202
USC00203632,43.675,-86.4228,38.92731688869857
USC00203661,42.6419,-85.2881,40.22787387901989
USC00213282,47.7517,-90.3283,35.47875826769324
USC00215204,44.4717,-95.7903,43.15784888387696
USC00216612,47.2508,-93.5861,37.00907771907672
USC00221962,34.9158,-88.6011,43.518531041769265
USC00228374,33.4692,-88.7822,42.73672437698255
USC00228445,33.4311,-90.9108,41.13774934230328
USC00230204,38.1894,-94.0244,45.63119619434713
USC00231189,38.6278,-92.5567,44.38780819034842
USC00231711,38.395,-93.7711,45.91116662412077
USC00232850,38.2325,-90.3981,43.698219677599184
USC00234919,37.5544,-91.8833,43.986420879586774
USC00235307,37.3233,-92.9828,42.74194029923069
USC00238577,39.3075,-91.4925,42.01420766211198
USC00244345,45.9228,-108.2453,42.525936374618276
USC00244820,44.5994,-111.8125,34.45553725399377
USC00246615,48.7647,-114.2842,39.20090205511333
USC00246640,47.6775,-114.2419,40.01595000210793
USC00247034,45.5022,-104.4478,42.39642010419967
USC00247382,47.4536,-104.3378,43.001640760824245
USC00248363,45.9467,-111.4758,40.58659403122316
